"","rank","bib","name","nation","times","gender","race"
"83",13,160,"ROCIO PEREZ SANHUEZA","CHI",07:36:02,"Mujer","Trail Short"
"84",13,451,"Carlos Crisóstomo Campos","CHI",01:18:09,"Hombre","Mountain Classic Senior"
"85",13,561,"Fernanda Melisenda Alvarado","CHI",01:42:35,"Mujer","Mountain Classic Senior"
"86",13,775,"Edison Philips Vargas Uribe","CHI",00:41:23,"Hombre","Mountain Classic Junior"
"87",14,32,"Sebastian Machuca Salgado","CHI",11:06:50,"Hombre","Trail Long"
"88",14,101,"Rainner Zarges Hernández","CHI",06:05:49,"Hombre","Trail Short"
"89",14,171,"Marianela Bizama","CHI",07:39:00,"Mujer","Trail Short"
"90",14,491,"David Silva Valladares","CHI",01:19:33,"Hombre","Mountain Classic Senior"
"91",14,565,"Yanina Oyarzo Guzman","CHI",01:45:59,"Mujer","Mountain Classic Senior"
"92",14,801,"Nicolas Chacana Brito","CHI",00:42:42,"Hombre","Mountain Classic Junior"
"93",15,25,"Cristobal Collipal","CHI",11:32:02,"Hombre","Trail Long"
"94",15,103,"Nicolás Rodríguez Carrasco","CHI",06:09:57,"Hombre","Trail Short"
"95",15,174,"Celinda Guerrero Rivera","CHI",07:48:08,"Mujer","Trail Short"
"96",15,417,"Nicolas Guaiquin alvarado","CHI",01:20:08,"Hombre","Mountain Classic Senior"
"97",15,578,"Lorena Reyes Otth","CHI",01:49:28,"Mujer","Mountain Classic Senior"
"98",15,797,"Diego Jesus Huttner Leon","CHI",00:42:45,"Hombre","Mountain Classic Junior"
"99",16,30,"MATIAS JELDRES","CHI",11:45:29,"Hombre","Trail Long"
"100",16,116,"Lester Rodriguez","CHI",06:12:55,"Hombre","Trail Short"
"101",16,172,"Sandra Rodriguez Navarrete","CHI",07:48:37,"Mujer","Trail Short"
"102",16,460,"Mauricio Felipe Gutiérrez Pinilla","CHI",01:20:42,"Hombre","Mountain Classic Senior"
"103",16,536,"Laura Henríquez Peñailillo","CHI",01:50:14,"Mujer","Mountain Classic Senior"
"104",16,861,"Jose Oyarzun garcia","CHI",00:44:50,"Hombre","Mountain Classic Junior"
"105",17,49,"Marcelo Arias Massa","CHI",11:56:54,"Hombre","Trail Long"
"106",17,122,"José Manuel Moreno morales","CHI",06:31:25,"Hombre","Trail Short"
"107",17,173,"Claudia Pamela Oyarzun Borquez","CHI",08:01:17,"Mujer","Trail Short"
"108",17,492,"Juan Manuel Tapia molina","CHI",01:20:59,"Hombre","Mountain Classic Senior"
"109",17,553,"Karinna Echeverría","CHI",01:52:13,"Mujer","Mountain Classic Senior"
"110",17,785,"Franco Augusto Fabres Salamanca","CHI",00:45:29,"Hombre","Mountain Classic Junior"
"111",18,13,"Matthias Badilla Garrido","CHI",12:16:50,"Hombre","Trail Long"
"112",18,102,"David Valle Brito","CHI",06:37:43,"Hombre","Trail Short"
"113",18,166,"Scarlet Ulloa diaz","CHI",08:22:59,"Mujer","Trail Short"
"114",18,410,"Martin ignacio Céspedes Bravo","CHI",01:21:11,"Hombre","Mountain Classic Senior"
"115",18,548,"María José Arancibia Luna","CHI",01:52:23,"Mujer","Mountain Classic Senior"
"116",18,786,"Maximiliano Donat","CHI",00:45:56,"Hombre","Mountain Classic Junior"
"117",19,55,"Adrián Muñoz Muñoz","CHI",12:24:38,"Hombre","Trail Long"
"118",19,150,"Gerardo Velazco","CHI",07:11:13,"Hombre","Trail Short"
"119",19,443,"Oscar Andrade soto","CHI",01:21:44,"Hombre","Mountain Classic Senior"
